ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
B63025,"-22,87849","-43,24097",1780399291000,33,665,1780399297000,1780399321000,2026-06-02 09:21:55
A63525,"-22,94637","-43,18218",1780399289000,28,104,1780399297000,1780399321000,2026-06-02 09:21:55
A63536,"-22,95291","-43,17656",1780399291000,18,167,1780399297000,1780399321000,2026-06-02 09:21:55
B63010,"-22,94188","-43,17853",1780399291000,16,167,1780399297000,1780399321000,2026-06-02 09:21:55
B63055,"-22,83215","-43,34301",1780399288000,0,920,1780399297000,1780399321000,2026-06-02 09:21:55
B63029,"-22,9462","-43,16178",1780399289000,25,167,1780399297000,1780399321000,2026-06-02 09:21:55
A63537,"-22,98503","-43,20637",1780399290000,3,104,1780399297000,1780399321000,2026-06-02 09:21:55
B63028,"-22,82123","-43,32228",1780399294000,25,665,1780399297000,1780399321000,2026-06-02 09:21:55
B63018,"-22,90453","-43,1922",1780399293000,0,107,1780399297000,1780399321000,2026-06-02 09:21:55
B63030,"-22,80636","-43,30604",1780399293000,0,FORA DE OP,1780399297000,1780399321000,2026-06-02 09:21:55
A63542,"-22,85361","-43,26138",1780399293000,29,919,1780399297000,1780399321000,2026-06-02 09:21:55
A63502,"-22,9086","-43,20123",1780399294000,7,104,1780399297000,1780399321000,2026-06-02 09:21:55
B63034,"-22,85724","-43,24767",1780399294000,53,335,1780399297000,1780399321000,2026-06-02 09:21:55
A63533,"-22,99518","-43,23512",1780399294000,0,104,1780399297000,1780399321000,2026-06-02 09:21:55
B63011,"-22,82153","-43,35159",1780399295000,0,919,1780399297000,1780399321000,2026-06-02 09:21:55
B63027,"-22,82888","-43,34629",1780399294000,0,920,1780399297000,1780399321000,2026-06-02 09:21:55
B63046,"-22,95299","-43,18186",1780399295000,0,104,1780399297000,1780399321000,2026-06-02 09:21:55
B63036,"-22,90296","-43,18527",1780399296000,0,335,1780399297000,1780399321000,2026-06-02 09:21:55
B63048,"-22,94055","-43,1759",1780399296000,25,107,1780399297000,1780399321000,2026-06-02 09:21:55
A63514,"-22,86487","-43,23968",1780399296000,29,919,1780399297000,1780399321000,2026-06-02 09:21:55
A63540,"-22,89285","-43,19409",1780399295000,0,167,1780399297000,1780399321000,2026-06-02 09:21:55
C47993,"-22,90542","-43,19102",1780399285000,9,2111,1780399297000,1780399325000,2026-06-02 09:21:55
C47544,"-22,94555","-43,36343",1780399284000,0,348,1780399297000,1780399325000,2026-06-02 09:21:55
C30334,"-22,96321","-43,40345",1780399285000,17,954,1780399297000,1780399325000,2026-06-02 09:21:55
D13044,"-22,98881","-43,32333",1780399285000,6,878,1780399297000,1780399325000,2026-06-02 09:21:55
C47607,"-22,97437","-43,36404",1780399286000,50,692,1780399297000,1780399325000,2026-06-02 09:21:55
C47475,"-23,02476","-43,48166",1780399286000,0,361,1780399297000,1780399325000,2026-06-02 09:21:55
C47741,"-22,91699","-43,28093",1780399250000,39,390,1780399297000,1780399325000,2026-06-02 09:21:55
D13064,"-22,87562","-43,45804",1780399285000,32,803,1780399297000,1780399325000,2026-06-02 09:21:55
C47471,"-23,00072","-43,37781",1780399286000,0,361,1780399297000,1780399325000,2026-06-02 09:21:55
D13164,"-22,91738","-43,36138",1780399286000,0,SV878,1780399297000,1780399325000,2026-06-02 09:21:55
C47903,"-22,91707","-43,26255",1780399285000,0,2112,1780399297000,1780399325000,2026-06-02 09:21:55
C47906,"-22,92403","-43,31308",1780399286000,27,2110,1780399297000,1780399325000,2026-06-02 09:21:55
C47478,"-22,97099","-43,18346",1780399284000,51,553,1780399297000,1780399325000,2026-06-02 09:21:55
C47730,"-22,96437","-43,17912",1780399285000,20,552,1780399297000,1780399325000,2026-06-02 09:21:55
