ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
D13214,-22.88005,-43.47837,2026-06-02 08:40:56-03:00,7,803,2026-06-02 08:41:06-03:00,2026-06-02 08:41:12-03:00,2026-06-02 09:21:55,2026-06-02,8,40,Tuesday,10.0,6.0
B58177,-22.89342,-43.27907,2026-06-02 08:53:45-03:00,15,622,2026-06-02 08:53:56-03:00,2026-06-02 08:54:24-03:00,2026-06-02 09:21:55,2026-06-02,8,53,Tuesday,11.0,28.0
A48043,-22.93865,-43.24732,2026-06-02 09:10:19-03:00,24,415,2026-06-02 09:10:30-03:00,2026-06-02 09:10:59-03:00,2026-06-02 09:21:55,2026-06-02,9,10,Tuesday,11.0,29.0
C47806,-22.90306,-43.21041,2026-06-02 08:25:52-03:00,15,353,2026-06-02 08:26:04-03:00,2026-06-02 08:26:15-03:00,2026-06-02 09:21:55,2026-06-02,8,25,Tuesday,12.0,11.0
B32668,-22.89184,-43.28131,2026-06-02 08:40:36-03:00,5,687,2026-06-02 08:40:45-03:00,2026-06-02 08:41:10-03:00,2026-06-02 09:21:55,2026-06-02,8,40,Tuesday,9.0,25.0
B31040,-22.91351,-43.18848,2026-06-02 08:40:07-03:00,1,497,2026-06-02 08:40:15-03:00,2026-06-02 08:40:29-03:00,2026-06-02 09:21:55,2026-06-02,8,40,Tuesday,8.0,14.0
C13006,-22.92482,-43.29009,2026-06-02 08:51:32-03:00,40,341,2026-06-02 08:51:42-03:00,2026-06-02 08:51:57-03:00,2026-06-02 09:21:55,2026-06-02,8,51,Tuesday,10.0,15.0
B58079,-22.85768,-43.26739,2026-06-02 09:04:35-03:00,33,621,2026-06-02 09:04:47-03:00,2026-06-02 09:05:09-03:00,2026-06-02 09:21:55,2026-06-02,9,4,Tuesday,12.0,22.0
A29077,-22.9001,-43.22993,2026-06-02 09:12:45-03:00,18,474,2026-06-02 09:12:56-03:00,2026-06-02 09:13:18-03:00,2026-06-02 09:21:55,2026-06-02,9,12,Tuesday,11.0,22.0
C47979,-22.91634,-43.23809,2026-06-02 08:25:30-03:00,0,2111,2026-06-02 08:25:42-03:00,2026-06-02 08:26:14-03:00,2026-06-02 09:21:55,2026-06-02,8,25,Tuesday,12.0,32.0
C44505,-22.92284,-43.23229,2026-06-02 08:30:42-03:00,19,638,2026-06-02 08:30:47-03:00,2026-06-02 08:31:13-03:00,2026-06-02 09:21:55,2026-06-02,8,30,Tuesday,5.0,26.0
B44635,-22.92517,-43.23277,2026-06-02 09:11:55-03:00,0,638,2026-06-02 09:11:56-03:00,2026-06-02 09:12:23-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,1.0,27.0
D13230,-22.9901,-43.32178,2026-06-02 08:44:25-03:00,0,862,2026-06-02 08:44:28-03:00,2026-06-02 08:44:47-03:00,2026-06-02 09:21:55,2026-06-02,8,44,Tuesday,3.0,19.0
C44505,-22.91233,-43.22665,2026-06-02 08:54:09-03:00,21,638,2026-06-02 08:54:18-03:00,2026-06-02 08:54:22-03:00,2026-06-02 09:21:55,2026-06-02,8,54,Tuesday,9.0,4.0
